"Participant","Condition","obs.data"
1,"A1",9.45036199701409
2,"A1",11.0910541643688
3,"A1",10.6397776738081
4,"A1",11.0425760239776
5,"A1",10.1697032696001
6,"A1",11.1378004228076
7,"A1",9.02944551753134
8,"A1",9.86817272094681
9,"A1",10.1462262309503
10,"A1",11.4412922241823
11,"A1",7.05861487217489
12,"A1",9.75716140438326
13,"A1",9.85941490926889
14,"A1",9.96734604080032
15,"A1",10.2798158816042
16,"A1",10.5901479101729
17,"A1",11.0242953064707
18,"A1",12.1073226607974
19,"A1",10.1546342365172
20,"A1",10.9130698357165
1,"A2",9.69613750576137
2,"A2",13.110486002216
3,"A2",12.9210474889357
4,"A2",10.6637315792862
5,"A2",9.14048508490201
6,"A2",11.7737118317342
7,"A2",8.82054566483512
8,"A2",8.95860033712831
9,"A2",12.4771627900733
10,"A2",13.2314862083849
11,"A2",5.19617949070929
12,"A2",9.70618660053656
13,"A2",10.0547519429651
14,"A2",9.71738475063286
15,"A2",10.9235376287187
16,"A2",10.5407165063573
17,"A2",11.6842192460995
18,"A2",12.519648750939
19,"A2",10.7357635107769
20,"A2",12.3121889856695
1,"A3",10.1992568256619
2,"A3",13.079262381687
3,"A3",12.7110971455801
4,"A3",10.8723996199804
5,"A3",10.5251545686413
6,"A3",12.1193812949101
7,"A3",8.36623474956384
8,"A3",10.1258528131871
9,"A3",13.3656513222198
10,"A3",14.2806481702825
11,"A3",4.39119823277263
12,"A3",11.0931227408375
13,"A3",12.8907197558701
14,"A3",10.7205486611599
15,"A3",9.15556294610472
16,"A3",9.00917256976964
17,"A3",12.0461454278793
18,"A3",12.0671280300579
19,"A3",12.8134248194976
20,"A3",11.5643289794098
